Rank,Peak,All Time Peak,Actual gross,Adjusted gross (in 2022 dollars),Artist,Tour title,Year(s),Shows,Average gross,Ref.
1,1,2,,,,,,56,,
2,1,2,,,,,2023,56,,
3,1,2,,,,,,85,,
4,1,2,,,,,,156,,
5,1,2,,,,,2018,53,,
6,1,2,,,,,2012,88,,
7,1,2,,,,,,131,,
7,1,2,,,,,,41,,
9,1,2,,,,,2016,49,,
10,1,2,,,,,2015,85,,
11,1,2,,,,,,132,,
12,1,2,,,,,,203,,
13,1,2,,,,,,151,,
14,1,2,,,,,,325,,
15,1,2,,,,,2006,60,,
16,1,2,,,,,,142,,
17,1,2,,,,,,98,,
18,1,2,,,,,,82,,
19,1,2,,,,,,121,,
20,1,2,,,,,,86,,
